Id,SalePrice
1461,123892.49659974725
1462,163954.81946894663
1463,186199.37056483398
1464,191482.58512827792
1465,184152.54585682417
1466,177553.64109839
1467,176210.03389168272
1468,171600.1535480915
1469,173919.4198480569
1470,128449.6421910443
1471,204999.31612654173
1472,98265.79248976323
1473,105134.31725118648
1474,155091.70245608385
1475,112395.29843343188
1476,390877.68137388
1477,255742.14815394793
1478,294292.914040977
1479,289720.1945075705
1480,525188.4601205844
1481,323286.67699024617
1482,208261.4243164725
1483,175022.43953414832
1484,168645.29876379232
1485,180990.94554378247
1486,195488.76375890162
1487,329287.209339902
1488,232412.00509587277
1489,202202.92993412854
1490,234140.9869347007
1491,195818.51118995185
1492,97998.86610172922
1493,172731.13784674276
1494,307840.58574208495
1495,283292.7898951835
1496,235117.20307473541
1497,184644.95678061308
1498,165013.04914813561
1499,161631.45605210753
1500,163235.18947760382
1501,174866.2738814095
1502,157375.85662950703
1503,292760.9381884693
1504,233877.94139559875
1505,225610.95772665646
1506,185860.11079323036
1507,242980.0471484715
1508,202538.79508507662
1509,155500.18911686467
1510,152044.58288466296
1511,148430.89598213343
1512,172905.216876284
1513,144446.88116828253
1514,160760.46627918325
1515,204320.38311715377
1516,147633.18472435512
1517,154386.13593028305
1518,130659.72197629587
1519,223457.8826029786
1520,137065.53088214673
1521,137846.28851197148
1522,161986.2612756868
1523,117498.34787736657
1524,119689.57912742975
1525,125951.56801295288
1526,120247.55174794194
1527,110048.90656714838
1528,133198.68621176542
1529,144805.62224877207
1530,170546.69633477853
1531,124485.26262514456
1532,96538.6383033396
1533,144475.06947742504
1534,119910.67664987585
1535,149322.52319818255
1536,114622.53652830566
1537,78170.67302773653
1538,144156.6669284301
1539,175641.66199233275
1540,107454.60360136772
1541,138588.22854382615
1542,141486.24941062002
1543,201691.938149057
1544,87220.44919273598
1545,100542.98069849085
1546,130122.27919650503
1547,134965.2947767555
1548,128519.9855503054
1549,111640.11020365819
1550,143036.17057092232
1551,115652.89346209347
1552,133033.87772617055
1553,139965.45914323354
1554,115224.34768415515
1555,178571.2864658205
1556,88084.98060501923
1557,109059.09727919093
1558,95461.07916798654
1559,96895.10135621743
1560,123606.88944131072
1561,137180.1362077841
1562,129785.98324970015
1563,122957.63821361357
1564,162064.51855076986
1565,155173.88286775837
1566,228112.68375709612
1567,79789.74449991599
1568,234083.52964262693
1569,140675.83975323415
1570,138705.322360835
1571,117298.41944023911
1572,149851.8318482887
1573,239300.96727032543
1574,114625.9427765417
1575,210753.93779623363
1576,235764.76527928855
1577,195896.31407772127
1578,144173.8465357572
1579,144513.3226448799
1580,191814.29044721226
1581,145668.89576004798
1582,124811.91003500143
1583,323787.0084619205
1584,234801.21235062636
1585,141874.88270361302
1586,74914.79975340779
1587,102550.52984693606
1588,146584.30902483384
1589,101631.14778669729
1590,132987.08393094776
1591,96724.49533552413
1592,123457.23472907075
1593,120561.83544907928
1594,133228.65233182622
1595,115843.65967399703
1596,250026.78946431467
1597,178009.96645196684
1598,187109.10849498576
1599,173433.04485465633
1600,174764.38449544317
1601,64953.42344753607
1602,113674.11070710073
1603,75628.27401286487
1604,267944.6056199262
1605,249607.87018332453
1606,170391.90061028244
1607,172802.63089429896
1608,206557.1521992811
1609,188873.58605550422
1610,155699.2324951277
1611,145711.53830523754
1612,176421.71312382616
1613,175925.49529213054
1614,126160.51153869546
1615,82547.53740969046
1616,73133.60453927284
1617,91867.83390537018
1618,125445.22048700346
1619,138725.23124390453
1620,166910.02328527102
1621,140284.97917568593
1622,147792.1372032392
1623,268760.00851553195
1624,215851.1477358142
1625,117837.33016006726
1626,161322.5990042491
1627,186871.92590281495
1628,274299.904724575
1629,172826.23863339517
1630,331899.82929017657
1631,212563.13853521933
1632,228381.63733345852
1633,175356.9870922248
1634,184918.30183317914
1635,180843.014810671
1636,158076.3772449262
1637,187491.84951280817
1638,199151.49663922214
1639,178104.4215842392
1640,256979.27056276362
1641,172953.59475579782
1642,221181.5482268029
1643,226330.97614843084
1644,229373.07141335242
1645,191630.8224868557
1646,154631.431774616
1647,161912.50453040356
1648,137682.70422112683
1649,139173.91455728206
1650,115795.96998899426
1651,120855.77495772432
1652,96395.16989163114
1653,94989.26706744575
1654,151243.5632804862
1655,143896.45822211177
1656,148855.45494564858
1657,150651.3159938281
1658,149919.35601892884
1659,118263.28255805212
1660,154731.7902796033
1661,443057.3238797983
1662,400436.74283148895
1663,392973.25942491344
1664,387459.3788589365
1665,314988.83170088695
1666,313789.2810406145
1667,366856.5071857174
1668,333106.17735030386
1669,292012.238628809
1670,355008.301923666
1671,275256.34910138627
1672,480929.0008332861
1673,296552.96860934986
1674,241988.24238456896
1675,195659.11137481657
1676,198459.75141578788
1677,204264.28148698632
1678,461562.98367646494
1679,400140.1520922469
1680,342528.1424692042
1681,256913.39199325332
1682,299872.1609937866
1683,186153.02456665554
1684,171187.31670598986
1685,170687.41739675676
1686,169325.93328075844
1687,171174.4719684561
1688,188147.66679415852
1689,189908.08977890157
1690,187293.08094988376
1691,184208.44332844624
1692,259347.64415312323
1693,172022.60949569958
1694,181398.6265076495
1695,164784.20307587177
1696,284629.6627986451
1697,165294.56100938813
1698,343415.762149234
1699,327335.96291884704
1700,245256.52029139875
1701,264858.5179174662
1702,241734.77386677114
1703,258412.8670929343
1704,282605.40017382894
1705,234888.1375058134
1706,381970.2572874096
1707,218580.87084352627
1708,207231.98691138133
1709,268547.19999862526
1710,226439.36914847384
1711,257991.41306542806
1712,278239.97390622774
1713,280453.26406008576
1714,222665.86979003987
1715,204362.25176371314
1716,174833.09501117613
1717,162880.7075380025
1718,131009.17145761308
1719,200412.67354608193
1720,229815.99717552
1721,161381.26210708029
1722,125433.0557433894
1723,159434.78679305108
1724,211361.4321193553
1725,238471.03707991506
1726,196598.1685258981
1727,168591.79833785695
1728,182705.78076589873
1729,164090.0759520603
1730,158342.90821046944
1731,119915.36921966934
1732,129399.08828940986
1733,123813.2360995003
1734,124918.02798740612
1735,135311.38054572346
1736,118971.09399516738
1737,325712.7165281677
1738,222408.3997228755
1739,291160.8343023717
1740,231643.54905192877
1741,193012.7727013497
1742,174693.4087162515
1743,170647.67291814374
1744,300146.5974692217
1745,213608.86886796326
1746,202835.57922640163
1747,217873.0677346427
1748,220118.93668487028
1749,159551.5624857629
1750,134701.214520376
1751,239884.77962187587
1752,122861.05194872685
1753,142509.2923316552
1754,199399.39533650188
1755,173614.36253467313
1756,125636.2042670526
1757,122751.95933174847
1758,156108.4425324604
1759,162557.85613659155
1760,166137.22866395014
1761,142980.0714375278
1762,177300.2733504281
1763,163142.55091571732
1764,116725.76189940305
1765,152499.88839145016
1766,180552.35509555988
1767,224538.08160001424
1768,144283.30398010105
