name,poi
BELDEN TIMOTHY N,0.0846461658590512
BOWEN JR RAYMOND M,0.030053557352670335
HANNON KEVIN P,0.020849574365839972
DELAINEY DAVID W,0.0648848698119066
CAUSEY RICHARD A,0.024123993224359767
HICKERSON GARY J,0.020909702897579627
FREVERT MARK A,0.055380966366073425
CHAN RONNIE,0.015371176350255537
DONAHUE JR JEFFREY M,0.02999764246560336
REYNOLDS LAWRENCE,0.015526173950591216
HORTON STANLEY C,0.02196050169401671
LEWIS RICHARD,0.017867269642419453
SHERRICK JEFFREY B,0.019221226549439953
MEYER JEROME J,0.015463881741272131
DERRICK JR. JAMES V,0.024298688624548846
PIRO JIM,0.015572968798563314
DETMERING TIMOTHY J,0.015827260460783598
KISHKILL JOSEPH G,0.01611856000057638
BAY FRANKLIN R,0.016128361367154242
PRENTICE JAMES,0.015525262022370067
TOTAL,0.34065467120348786
FALLON JAMES B,0.0246453536410374
METTS MARK,0.019727896709698246
WODRASKA JOHN,0.015539930528207834
MORDAUNT KRISTINA M,0.01570649647674429
CARTER REBECCA C,0.01754733216616433
BHATNAGAR SANJAY,0.017223196120592785
WALTERS GARETH W,0.015633158408508853
BIBI PHILIPPE A,0.02099653122529631
SHERRIFF JOHN R,0.025614419987068322
GIBBS DANA R,0.015628748879088838
LINDHOLM TOD A,0.01574786479455253
MCMAHON JEFFREY,0.027889324919497853
